name,price,link_picture,Produkttyp,Vorgeschlagenes Geschlecht,Empfohlenes Alter in Jahren (mind.),Empfohlenes Alter in Jahren (max.),Anzahl Teile,Sound-Effekte,Produktfarbe,Material,Ursprungsland,EU TSD Warnung,EU TSD Sprache,Sicherheitswarnung,Batterien erforderlich,Verpackungsbreite,Verpackungstiefe,Verpackungshöhe,Paketgewicht,Verpackungsart,Menge pro Packung,Anzahl der Versandkartons pro Vorlagenkarton,Montage erforderlich,Anzahl der Pakete,ASIN,Montagezeit,Freigabedatum (TT/MM/JJ),Figur enthalten,Nachhaltigkeitszertifikate,Menge pro Versandkarton,Länge des Versandkartons,Breite des Versandkartons,Höhe des Versandkartons,Gewicht Versandkarton,Nettogewicht Hauptkarton,Versandkarton pro Palettenlage,Anzahl Produkte pro Versandkarton,Hauptkarton GTIN (EAN/UPC),Lagenanzahl pro Palette,Produkte pro Palettenlage,Fernbedienung erforderlich,Warnung vor Erstickungsgefahr,Fernbedienung enthalten,Akkus/Batterien enthalten,null
LEGO Harry Potter Schloss Hogwarts™ mit Schlossgelände (76419),179,https://www.fcw.ch/api/ProcessRequest/191538/BN/268x166-lego-harry-potter-schloss-hogwarts-mit-schlossgelaende-76419.jpg?sourceId=886652&source=Product, Bausatz , Junge/Mädchen , 18 Jahr(e) , 99 Jahr(e) , 2660 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 378 mm , 480 mm , 112 mm ," 3,04 kg ", Box , 1 Stück(e) , 1 Stück(e) , , 1 , B0BV7BYNYD , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO Disney - Kamera – Hommage an Walt Disney (43230),119,https://www.fcw.ch/api/ProcessRequest/191541/BN/268x166-lego-disney-kamera-hommage-an-walt-disney-43230.jpg?sourceId=886591&source=Product, Bausatz , Junge/Mädchen , 18 Jahr(e) , 99 Jahr(e) , 811 Stück(e) , , Mehrfarbig , Kunststoff , China ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 378 mm , 354 mm ," 70,5 mm "," 1,13 kg ", Box , 1 Stück(e) , 4 Stück(e) , , 1 , B0BV7BMPVS , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO Technic - Audi RS Q e-tron (42160),159,https://www.fcw.ch/api/ProcessRequest/190646/BN/268x166-lego-technic-audi-rs-q-e-tron-42160.jpg?sourceId=886681&source=Product, Bausatz , Junge/Mädchen , 10 Jahr(e) , 99 Jahr(e) , 914 Stück(e) , , Mehrfarbig , Kunststoff , China ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 262 mm , 382 mm , 118 mm ," 1,86 kg ", Box , 1 Stück(e) , 2 Stück(e) , , 1 , B0BV7DM8FT , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO Technic - Lamborghini Huracán Tecnica (42161),59.95,https://www.fcw.ch/api/ProcessRequest/190611/BN/268x166-lego-technic-lamborghini-huracan-tecnica-42161.jpg?sourceId=886682&source=Product, Bausatz , Junge/Mädchen , 9 Jahr(e) , 99 Jahr(e) , 806 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 262 mm , 382 mm ," 70,5 mm "," 1,03 kg ", Box , 1 Stück(e) , 3 Stück(e) , , 1 , B0BV7CKX2Q , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO City - Personen-Schnellzug (60337),169,https://www.fcw.ch/api/ProcessRequest/138905/BN/268x166-lego-city-personen-schnellzug-60337.jpg?sourceId=874186&source=Product, Bausatz , Junge/Mädchen , 7 Jahr(e) , 99 Jahr(e) , 764 Stück(e) , , Mehrfarbig , Kunststoff , China ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,, 378 mm , 582 mm , 103 mm ," 2,25 kg ", Box ,,, ,, B09QFJSNJW ,,,,,,,,,,,,,,,,,,,,
LEGO Duplo - Deluxe Steinebox (10914) ,54.95,https://www.fcw.ch/api/ProcessRequest/186550/BN/268x166-lego-duplo-deluxe-steinebox-10914.jpg?sourceId=851036&source=Product, Bausatz , Junge/Mädchen ," 1,5 Jahr(e) ", 99 Jahr(e) , 85 Stück(e) , , Mehrfarbig ,,,,,,, 262 mm , 370 mm , 180 mm ," 1,43 kg ", Box ,,,,,,, 01/01/2020 , , Forest Stewardship Council (FSC) Mix , 2 Stück(e) , 379 mm , 372 mm , 280 mm ," 3,44 kg "," 2,86 kg ", 6 Stück(e) , 2 Stück(e) , 5702016704358 , 4 Stück(e) , 12 Stück(e) ,,,,,
LEGO Star Wars - AT-TE Walker (75337),159,https://www.fcw.ch/api/ProcessRequest/149917/BN/268x166-lego-star-wars-at-te-walker-75337.jpg?sourceId=874251&source=Product, Bausatz , Junge/Mädchen , 9 Jahr(e) , 99 Jahr(e) , 1082 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 378 mm , 480 mm ," 70,5 mm "," 1,52 kg ", Box ,,, ,, B09QFXTYDC ,,,,,,,,,,,,,,,,,,,,
LEGO Star Wars - Yodas Jedi Starfighter™ (75360),46.95,https://www.fcw.ch/api/ProcessRequest/190515/BN/268x166-lego-star-wars-yodas-jedi-starfighter-75360.jpg?sourceId=886660&source=Product, Bausatz , Junge/Mädchen , 8 Jahr(e) , 99 Jahr(e) , 253 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 191 mm , 262 mm , 46 mm , 318 g , Box , 1 Stück(e) , 8 Stück(e) , , 1 , B0BV7B69QT , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO Ninjago - Zanes Drachenpower-Spinjitzu-Rennwagen (71791),39.95,https://www.fcw.ch/api/ProcessRequest/188433/BN/268x166-lego-ninjago-zanes-drachenpower-spinjitzu-rennwagen-71791.jpg?sourceId=886633&source=Product, Bausatz , Junge/Mädchen , 7 Jahr(e) , 99 Jahr(e) , 307 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 222 mm , 262 mm , 76 mm , 515 g , Box , 1 Stück(e) , 5 Stück(e) , , 1 , B0BPCF2J79 , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO Technic - McLaren Senna GTR (42123),59.95,https://www.fcw.ch/api/ProcessRequest/136040/BN/268x166-lego-technic-mclaren-senna-gtr-42123.jpg?sourceId=861131&source=Product, Bausatz , Junge/Mädchen , 10 Jahr(e) , 99 Jahr(e) , 830 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 262 mm , 382 mm ," 70,5 mm ", 980 g , Box ,,, ,, B08G4293BD ,,, , Forest Stewardship Council (FSC) Mix , 3 Stück(e) , 398 mm , 229 mm , 280 mm ," 3,27 kg "," 2,94 kg ", 10 Stück(e) , 3 Stück(e) , 5702016961409 , 4 Stück(e) , 30 Stück(e) , , Kleinteile , , ,
LEGO Icons - Porsche 911 (10295),179,https://www.fcw.ch/api/ProcessRequest/106277/BN/268x166-lego-icons-porsche-911-10295.jpg?sourceId=865592&source=Product, Bausatz , Junge/Mädchen , 18 Jahr(e) , 99 Jahr(e) , 1458 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 282 mm , 480 mm , 118 mm ," 1,99 kg ", Box ,,, ,, B08XQYXPLC ,, 01/06/2021 , , Forest Stewardship Council (FSC) Mix ,, 299 mm , 252 mm , 499 mm ," 4,22 kg "," 3,79 kg ", 12 Stück(e) , 2 Stück(e) , 5702017035246 , 2 Stück(e) , 24 Stück(e) , , Kleinteile , , ,"
                        "
LEGO City - Passagierflugzeug (60367),119,https://www.fcw.ch/api/ProcessRequest/191570/BN/268x166-lego-city-passagierflugzeug-60367.jpg?sourceId=886604&source=Product, Bausatz , Junge/Mädchen , 7 Jahr(e) , 99 Jahr(e) , 913 Stück(e) , , Mehrfarbig , Kunststoff , Ungarn ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 378 mm , 480 mm , 94 mm ," 1,81 kg ", Box , 1 Stück(e) , 3 Stück(e) , , 1 , B0BV793KD1 , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO Star Wars - Ahsoka Tanos T-6 Jedi Shuttle (75362),89.95,https://www.fcw.ch/api/ProcessRequest/191578/BN/268x166-lego-star-wars-ahsoka-tanos-t-6-jedi-shuttle-75362.jpg?sourceId=886661&source=Product, Bausatz , Junge/Mädchen , 9 Jahr(e) , 99 Jahr(e) , 601 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 262 mm , 382 mm ," 70,5 mm ", 877 g , Box , 1 Stück(e) ,, , 1 , B0BV7HND4Q , 60 min ,,,,,,,,,,,,,,,,,,,
LEGO Icons - Klassischer Land Rover Defender 90 (10317),269,https://www.fcw.ch/api/ProcessRequest/189993/BN/268x166-lego-icons-klassischer-land-rover-defender-90-10317.jpg?sourceId=887623&source=Product, Bausatz ,, 18 Jahr(e) , 99 Jahr(e) , 2336 Stück(e) , , Mehrfarbig , Kunststoff , Tschechische Republik ," Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. , , 378 mm , 582 mm , 118 mm ," 2,86 kg ", Box ,,, ,,,,,,,,,,,,,,,,,,,,,,
LEGO City - Meeresforscher-Boot (60377),36.95,https://www.fcw.ch/api/ProcessRequest/188750/BN/268x166-lego-city-meeresforscher-boot-60377.jpg?sourceId=886607&source=Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGO Marvel - LEGO® Minifiguren Marvel-Serie 2 (71039),4.95,https://www.fcw.ch/api/ProcessRequest/191554/BN/268x166-lego-marvel-lego-minifiguren-marvel-serie-2-71039.jpg?sourceId=886687&source=Product, Bausatz , Junge/Mädchen , 5 Jahr(e) , 99 Jahr(e) , 10 Stück(e) , , Mehrfarbig , Kunststoff ,," Nicht für Kinder unter 36 Monaten geeignet, Keine Warnung zutreffend "," Englisch, Deutsch, Französisch, Italienisch, Spanisch, Schwedisch, Holländisch ", Achtung. Nicht geeignet für Kinder unter 36 Monate. Enthält verschluckbare Kleinteile. Erstickungsgefahr. , , 106 mm , 94 mm , 24 mm , 150 g , Box , 1 Stück(e) , 36 Stück(e) , , 1 ,, 60 min ,,,,,,,,,,,,,,,,,,,
