name,price,link_picture,Empfohlenes Alter in Jahren (mind.),Empfohlenes Alter in Jahren (max.),Anzahl Teile,Sicherheitswarnung,Verpackungsbreite,Verpackungstiefe,Verpackungshöhe,Paketgewicht,ASIN,Vorgeschlagenes Geschlecht_ Junge ,Vorgeschlagenes Geschlecht_ Junge/Mädchen ,Material_ Kunststoff ,Material_nan,Produktfarbe_encoded,Verpackungsart_encoded,Produkttyp_ Bausatz ,Ursprungsland_ China ,Ursprungsland_ Dänemark ,Ursprungsland_ Indonesien ,Ursprungsland_ Thailand ,Ursprungsland_ Tschechische Republik ,Ursprungsland_ Ungarn ,Ursprungsland_ Österreich ,EU_TSD_Warnung_ Keine Warnung zutreffend ,"EU_TSD_Warnung_ Keine Warnung zutreffend, Nicht für Kinder unter 36 Monaten geeignet ",EU_TSD_Warnung_ Nicht für Kinder unter 18 Monaten geeignet ,EU_TSD_Warnung_ Nicht für Kinder unter 36 Monaten geeignet ,"EU_TSD_Warnung_ Nicht für Kinder unter 36 Monaten geeignet, Keine Warnung zutreffend ","EU_TSD_Warnung_ Nicht für Kinder unter 36 Monaten geeignet, Nur für häuslichen Gebrauch bestimmt "
LEGO Harry Potter Schloss Hogwarts™ mit Schlossgelände (76419),179.0,https://www.fcw.ch/api/ProcessRequest/191538/BN/268x166-lego-harry-potter-schloss-hogwarts-mit-schlossgelaende-76419.jpg?sourceId=886652&source=Product,18,99,2660, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,378,480,112,3, B0BV7BYNYD ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
LEGO Disney - Kamera – Hommage an Walt Disney (43230),119.0,https://www.fcw.ch/api/ProcessRequest/191541/BN/268x166-lego-disney-kamera-hommage-an-walt-disney-43230.jpg?sourceId=886591&source=Product,18,99,811, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,378,354,70,1, B0BV7BMPVS ,0.0,1.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
LEGO Technic - Audi RS Q e-tron (42160),159.0,https://www.fcw.ch/api/ProcessRequest/190646/BN/268x166-lego-technic-audi-rs-q-e-tron-42160.jpg?sourceId=886681&source=Product,10,99,914, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,262,382,118,1, B0BV7DM8FT ,0.0,1.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
LEGO Technic - Lamborghini Huracán Tecnica (42161),59.95,https://www.fcw.ch/api/ProcessRequest/190611/BN/268x166-lego-technic-lamborghini-huracan-tecnica-42161.jpg?sourceId=886682&source=Product,9,99,806, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,262,382,70,1, B0BV7CKX2Q ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
LEGO City - Personen-Schnellzug (60337),169.0,https://www.fcw.ch/api/ProcessRequest/138905/BN/268x166-lego-city-personen-schnellzug-60337.jpg?sourceId=874186&source=Product,7,99,764, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,378,582,103,2, B09QFJSNJW ,0.0,1.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
LEGO Star Wars - AT-TE Walker (75337),159.0,https://www.fcw.ch/api/ProcessRequest/149917/BN/268x166-lego-star-wars-at-te-walker-75337.jpg?sourceId=874251&source=Product,9,99,1082, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,378,480,70,1, B09QFXTYDC ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Star Wars - Yodas Jedi Starfighter™ (75360),46.95,https://www.fcw.ch/api/ProcessRequest/190515/BN/268x166-lego-star-wars-yodas-jedi-starfighter-75360.jpg?sourceId=886660&source=Product,8,99,253, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,191,262,46,318, B0BV7B69QT ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Ninjago - Zanes Drachenpower-Spinjitzu-Rennwagen (71791),39.95,https://www.fcw.ch/api/ProcessRequest/188433/BN/268x166-lego-ninjago-zanes-drachenpower-spinjitzu-rennwagen-71791.jpg?sourceId=886633&source=Product,7,99,307, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,222,262,76,515, B0BPCF2J79 ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
LEGO Technic - McLaren Senna GTR (42123),59.95,https://www.fcw.ch/api/ProcessRequest/136040/BN/268x166-lego-technic-mclaren-senna-gtr-42123.jpg?sourceId=861131&source=Product,10,99,830, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,262,382,70,980, B08G4293BD ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
LEGO Icons - Porsche 911 (10295),179.0,https://www.fcw.ch/api/ProcessRequest/106277/BN/268x166-lego-icons-porsche-911-10295.jpg?sourceId=865592&source=Product,18,99,1458, Achtung. Nicht geeignet fur Kinder unter 36 Monate. Enthalt verschluckbare Kleinteile. Erstickungsgefahr. ,282,480,118,1, B08XQYXPLC ,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
